"cd_sig";"code_10km";"cd_nom";"lb_nom";"annee";"nombre de données dans la maille";"fournisseurs des données";"wkt_geom_4326"
"10kmL93E062N638";"E062N638";60630;"Lutra lutra";2000;1;"NATURE MIDI-PYRENEES";"MULTIPOLYGON(((1.99345988960342 44.5144766551441,1.9918536126569 44.6044931282007,2.11786067736364 44.6055706643495,2.11926622330192 44.5155524349212,1.99345988960342 44.5144766551441)))"
"10kmL93E066N626";"E066N626";60630;"Lutra lutra";2000;1;"NATURE MIDI-PYRENEES";"MULTIPOLYGON(((2.50615242283394 43.4379807436835,2.50537906757024 43.5279479243271,2.6290321779456 43.5284410590491,2.6296122043347 43.4384730753759,2.50615242283394 43.4379807436835)))"
"10kmL93E066N627";"E066N627";60630;"Lutra lutra";2000;1;"NATURE MIDI-PYRENEES";"MULTIPOLYGON(((2.50537906757024 43.5279479243271,2.50460328642221 43.6179208427962,2.62845033208077 43.6184147819151,2.6290321779456 43.5284410590491,2.50537906757024 43.5279479243271)))"
"10kmL93E015N683";"E015N683";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-4.43286857347536 48.3371674174014,-4.44557390293935 48.426735765373,-4.31097925823793 48.4351298034255,-4.29850095566321 48.345547736168,-4.43286857347536 48.3371674174014)))"
"10kmL93E018N682";"E018N682";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-4.0176565526935 48.2722347883553,-4.02963927294312 48.3618507450807,-3.89514672785811 48.3697732986648,-3.88339091090025 48.2801443892435,-4.0176565526935 48.2722347883553)))"
"10kmL93E020N684";"E020N684";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.77218212941934 48.4671775987025,-3.78378975471238 48.5568046914716,-3.64876082011372 48.5644467185413,-3.63738203537355 48.4748071219561,-3.77218212941934 48.4671775987025)))"
"10kmL93E021N676";"E021N676";60630;"Lutra lutra";2000;4;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.54773176275967 47.7574450107053,-3.55880568647901 47.8471369782923,-3.42554873335071 47.8545282505594,-3.41469779559475 47.7648242080832,-3.54773176275967 47.7574450107053)))"
"10kmL93E021N677";"E021N677";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.55880568647901 47.8471369782923,-3.56991704482582 47.9368232040972,-3.43643636216641 47.9442265734517,-3.42554873335071 47.8545282505594,-3.55880568647901 47.8471369782923)))"
"10kmL93E021N684";"E021N684";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.63738203537355 48.4748071219561,-3.64876082011372 48.5644467185413,-3.51369289706322 48.5719353963623,-3.5025431517675 48.4822835448581,-3.63738203537355 48.4748071219561)))"
"10kmL93E021N687";"E021N687";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.67163555588186 48.7437029253667,-3.68313190878486 48.833319071549,-3.54737220867634 48.8408446519194,-3.53610722849246 48.7512161818302,-3.67163555588186 48.7437029253667)))"
"10kmL93E022N676";"E022N676";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.41469779559475 47.7648242080832,-3.42554873335071 47.8545282505594,-3.29225508937024 47.8617680909451,-3.28162732232821 47.7720522191416,-3.41469779559475 47.7648242080832)))"
"10kmL93E022N677";"E022N677";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.42554873335071 47.8545282505594,-3.43643636216641 47.9442265734517,-3.30291880265828 47.9514782649238,-3.29225508937024 47.8617680909451,-3.42554873335071 47.8545282505594)))"
"10kmL93E022N678";"E022N678";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.43643636216641 47.9442265734517,-3.44736086804011 48.0339189476275,-3.31361864448159 48.0411825120294,-3.30291880265828 47.9514782649238,-3.43643636216641 47.9442265734517)))"
"10kmL93E022N682";"E022N682";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.48035752690266 48.302958081541,-3.49143142628007 48.3926243628783,-3.35678298625005 48.3999356391418,-3.34593678259737 48.3102573966452,-3.48035752690266 48.302958081541)))"
"10kmL93E023N679";"E023N679";60630;"Lutra lutra";2000;4;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.31361864448159 48.0411825120294,-3.32435479836135 48.1308806028813,-3.19035066188493 48.1380038302143,-3.17984010907369 48.0482940916031,-3.31361864448159 48.0411825120294)))"
"10kmL93E023N680";"E023N680";60630;"Lutra lutra";2000;5;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.32435479836135 48.1308806028813,-3.33512744906112 48.2205723077675,-3.20089695424881 48.2277072044284,-3.19035066188493 48.1380038302143,-3.32435479836135 48.1308806028813)))"
"10kmL93E023N685";"E023N685";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.3785867594065 48.5792706618567,-3.38954470988472 48.6689269796875,-3.25417093071458 48.6761205495003,-3.24344318232253 48.5864524532168,-3.3785867594065 48.5792706618567)))"
"10kmL93E024N678";"E024N678";60630;"Lutra lutra";2000;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.16936511482024 47.9585782182229,-3.17984010907369 48.0482940916031,-3.04602601531082 48.0552536270905,-3.03577604840277 47.9655263742997,-3.16936511482024 47.9585782182229)))"
"10kmL93E024N682";"E024N682";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.21147916838802 48.3174039842872,-3.22209748776358 48.4070939395033,-3.08737569954073 48.4140992038574,-3.07698544915034 48.3243977845751,-3.21147916838802 48.3174039842872)))"
"10kmL93E024N683";"E024N683";60630;"Lutra lutra";2000;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.22209748776358 48.4070939395033,-3.23275209708534 48.496776839461,-3.09780146989348 48.5037935892541,-3.08737569954073 48.4140992038574,-3.22209748776358 48.4070939395033)))"
"10kmL93E024N684";"E024N684";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.23275209708534 48.496776839461,-3.24344318232253 48.5864524532168,-3.10826294229711 48.5934807099065,-3.09780146989348 48.5037935892541,-3.23275209708534 48.496776839461)))"
"10kmL93E024N686";"E024N686";60630;"Lutra lutra";2000;8;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.25417093071458 48.6761205495003,-3.26493553078189 48.765780896715,-3.12929372784289 48.7728322319132,-3.11876030008438 48.6831603346296,-3.25417093071458 48.6761205495003)))"
"10kmL93E024N687";"E024N687";60630;"Lutra lutra";2000;9;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.26493553078189 48.765780896715,-3.27573717233685 48.8554332629393,-3.13986341142583 48.8624961699222,-3.12929372784289 48.7728322319132,-3.26493553078189 48.765780896715)))"
"10kmL93E025N679";"E025N679";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.04602601531082 48.0552536270905,-3.05631078606044 48.1449747661521,-2.92223592937925 48.1517933524781,-2.91217711790537 48.0620610604807,-3.04602601531082 48.0552536270905)))"
"10kmL93E026N678";"E026N678";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.90215235436416 47.972322675348,-2.91217711790537 48.0620610604807,-2.77829417276174 48.0687163350122,-2.76849478484471 47.9789670648067,-2.90215235436416 47.972322675348)))"
"10kmL93E026N679";"E026N679";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.91217711790537 48.0620610604807,-2.92223592937925 48.1517933524781,-2.78812685153489 48.1584595322295,-2.77829417276174 48.0687163350122,-2.91217711790537 48.0620610604807)))"
"10kmL93E026N681";"E026N681";60630;"Lutra lutra";2000;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.93232896221247 48.2415193218752,-2.94245639100924 48.3312387388777,-2.80789276131231 48.337926789826,-2.79799299079179 48.2481964270723,-2.93232896221247 48.2415193218752)))"
"10kmL93E026N682";"E026N682";60630;"Lutra lutra";2000;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.94245639100924 48.3312387388777,-2.95261839156136 48.4209513733638,-2.81782633503839 48.4276503904487,-2.80789276131231 48.337926789826,-2.94245639100924 48.3312387388777)))"
"10kmL93E026N683";"E026N683";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.95261839156136 48.4209513733638,-2.9628151408583 48.5106569948844,-2.82779388508391 48.5173669985722,-2.81782633503839 48.4276503904487,-2.95261839156136 48.4209513733638)))"
"10kmL93E027N680";"E027N680";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.78812685153489 48.1584595322295,-2.79799299079179 48.2481964270723,-2.66362338830105 48.2547208216242,-2.65398431339874 48.1649732496985,-2.78812685153489 48.1584595322295)))"
"10kmL93E027N681";"E027N681";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.79799299079179 48.2481964270723,-2.80789276131231 48.337926789826,-2.67329532860502 48.3444618813148,-2.66362338830105 48.2547208216242,-2.79799299079179 48.2481964270723)))"
"10kmL93E027N683";"E027N683";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.81782633503839 48.4276503904487,-2.82779388508391 48.5173669985722,-2.69273847889285 48.5239235438109,-2.68300030239285 48.4341961988067,-2.81782633503839 48.4276503904487)))"
"10kmL93E027N684";"E027N684";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.82779388508391 48.5173669985722,-2.83779558574468 48.6070763835022,-2.70251002848922 48.6136436857124,-2.69273847889285 48.5239235438109,-2.82779388508391 48.5173669985722)))"
"10kmL93E028N672";"E028N672";60630;"Lutra lutra";2000;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.57803506942165 47.4467857212302,-2.58741713768366 47.536577151737,-2.45481136409937 47.5428658897082,-2.44565052740603 47.4530641831946,-2.57803506942165 47.4467857212302)))"
